group_a,energy_a_MeV,group_b,energy_b_MeV,sigma_a_to_b,sigma_b_to_a,absolute_difference,asymmetry,geometric_strength
10,1.985,17,0.0462,0.1304932,0.0,0.1304932,1.0,0.0
10,1.985,18,0.01696,0.0478172,0.0,0.0478172,1.0,0.0
10,1.985,19,0.006235,0.01759736,0.0,0.01759736,1.0,0.0
10,1.985,20,0.0022925,0.00645052,0.0,0.00645052,1.0,0.0
10,1.985,21,0.0008445,0.00238198,0.0,0.00238198,1.0,0.0
10,1.985,22,0.0003105,0.000875332,0.0,0.000875332,1.0,0.0
10,1.985,23,0.0001142,0.000322074,0.0,0.000322074,1.0,0.0
10,1.985,24,4.2e-05,0.0001183376,0.0,0.0001183376,1.0,0.0
10,1.985,25,1.546e-05,6.79028e-05,0.0,6.79028e-05,1.0,0.0
11,1.5455,12,1.088,3.53102,0.0,3.53102,1.0,0.0
11,1.5455,13,0.6615,1.446548,0.0,1.446548,1.0,0.0
11,1.5455,14,0.4015,0.884104,0.0,0.884104,1.0,0.0
11,1.5455,15,0.2435,0.534724,0.0,0.534724,1.0,0.0
11,1.5455,16,0.1258,0.52353,0.0,0.52353,1.0,0.0
11,1.5455,17,0.0462,0.1926218,0.0,0.1926218,1.0,0.0
11,1.5455,18,0.01696,0.0705842,0.0,0.0705842,1.0,0.0
11,1.5455,19,0.006235,0.0259762,0.0,0.0259762,1.0,0.0
11,1.5455,20,0.0022925,0.00952188,0.0,0.00952188,1.0,0.0
11,1.5455,21,0.0008445,0.00351616,0.0,0.00351616,1.0,0.0
11,1.5455,22,0.0003105,0.001292114,0.0,0.001292114,1.0,0.0
11,1.5455,23,0.0001142,0.000475426,0.0,0.000475426,1.0,0.0
11,1.5455,24,4.2e-05,0.0001746834,0.0,0.0001746834,1.0,0.0
11,1.5455,25,1.546e-05,7.34114e-05,0.0,7.34114e-05,1.0,0.0
11,1.5455,26,5.69e-06,2.7158e-05,0.0,2.7158e-05,1.0,0.0
12,1.088,13,0.6615,3.73578,0.0,3.73578,1.0,0.0
12,1.088,14,0.4015,1.586332,0.0,1.586332,1.0,0.0
12,1.088,15,0.2435,0.959542,0.0,0.959542,1.0,0.0
12,1.088,16,0.1258,0.939528,0.0,0.939528,1.0,0.0
12,1.088,17,0.0462,0.345698,0.0,0.345698,1.0,0.0
12,1.088,18,0.01696,0.126679,0.0,0.126679,1.0,0.0
12,1.088,19,0.006235,0.0466202,0.0,0.0466202,1.0,0.0
12,1.088,20,0.0022925,0.01708928,0.0,0.01708928,1.0,0.0
12,1.088,21,0.0008445,0.0063106,0.0,0.0063106,1.0,0.0
12,1.088,22,0.0003105,0.00231902,0.0,0.00231902,1.0,0.0
12,1.088,23,0.0001142,0.000853268,0.0,0.000853268,1.0,0.0
12,1.088,24,4.2e-05,0.000313512,0.0,0.000313512,1.0,0.0
12,1.088,25,1.546e-05,0.0001153854,0.0,0.0001153854,1.0,0.0
12,1.088,26,5.69e-06,6.5788e-05,0.0,6.5788e-05,1.0,0.0
13,0.6615,14,0.4015,3.941414,0.0,3.941414,1.0,0.0
13,0.6615,15,0.2435,2.01654,0.0,2.01654,1.0,0.0
13,0.6615,16,0.1258,1.974512,0.0,1.974512,1.0,0.0
13,0.6615,17,0.0462,0.726592,0.0,0.726592,1.0,0.0
13,0.6615,18,0.01696,0.266252,0.0,0.266252,1.0,0.0
13,0.6615,19,0.006235,0.097986,0.0,0.097986,1.0,0.0
13,0.6615,20,0.0022925,0.0359186,0.0,0.0359186,1.0,0.0
13,0.6615,21,0.0008445,0.01326382,0.0,0.01326382,1.0,0.0
13,0.6615,22,0.0003105,0.0048742,0.0,0.0048742,1.0,0.0
13,0.6615,23,0.0001142,0.001793438,0.0,0.001793438,1.0,0.0
13,0.6615,24,4.2e-05,0.000658954,0.0,0.000658954,1.0,0.0
13,0.6615,25,1.546e-05,0.000242522,0.0,0.000242522,1.0,0.0
13,0.6615,26,5.69e-06,0.000119822,0.0,0.000119822,1.0,0.0
13,0.6615,27,2.095e-06,1.962032e-05,0.0,1.962032e-05,1.0,0.0
14,0.4015,15,0.2435,5.295520000000001,0.0,5.295520000000001,1.0,0.0
14,0.4015,16,0.1258,4.17476,0.0,4.17476,1.0,0.0
14,0.4015,17,0.0462,1.536142,0.0,1.536142,1.0,0.0
14,0.4015,18,0.01696,0.562916,0.0,0.562916,1.0,0.0
14,0.4015,19,0.006235,0.20716,0.0,0.20716,1.0,0.0
14,0.4015,20,0.0022925,0.0759378,0.0,0.0759378,1.0,0.0
